globalIdentifier,definition,note,identifier,title,parentId,statusId,id,example,parent
695638d4-192f-4a52-952a-72c3d4ffdd52,funktionellt system som skapar utrymme,"Det finns tre grupper av funktionella system (siffrorna 1, 2 och 3 betyder dock ingenting, utan är endast en ordningsföljd): 

1. ""utrymmesskapande system"" som ger byggnadsverket sin form, till exempel väggar, bjälklag och överbyggnader.
2. ""installationssystem"" som exempelvis försörjer med media, som värmer och kyler, som trans­porterar och som styr och övervakar.
3. ""utrustande system"" som förser byggnadsverket och dess utrymmen med inredning och utrustning.",1,Utrymmesskapande system,0,0,575545,,
96572061-e1e5-4cf5-96f0-e568e7472944,utrymmesskapande system som formar och avskiljer utrymmen vertikalt eller som utgör icke kontinuerligt vertikalt stöd,"Definition i ISO/IEC 81346-12:2018 kompletterad med ""eller som utgör icke kontinuerligt stöd"".

Väggsystem realiseras av det konstruktiva systemet AD Väggkonstruktion eller någon av dess typer. Dessa omfattar helheten av konstruktionen. Det konstruktiva systemet BD Väggstomme avser bärande och stabiliserande byggdelar i väggkonstruktionen. BD är alltså en del av AD, som tillsammans åstadkommer väggsystemets konstruktion. Strukturen uttrycks som B.AD.BD.",B,Väggsystem,575545,0,575547,"bergrumsvägg, dammvägg, spontvägg, stödmur, tunnelvägg, ytterväggssystem, innerväggssystem, terrängmur, pelarsystem",575545.0
e9b9877a-2f80-4cf0-b1be-987cb0b14041,väggsystem över mark mot utsidan av byggnadsverk,,B10,Ytterväggssystem,575547,0,311273,"-
",575547.0
ddfcf685-b5aa-4a8e-8a16-23227fe821a1,väggsystem mellan utrymmen i byggnadsverk,Typ B20 omfattar alla typer av innerväggar. Typ B23 Innervägg används för väggar mot andra utrymmen än schakt.,B20,Innerväggssystem,575547,0,311274,,575547.0
a840784d-4ab7-4985-b28c-bebf55743038,innerväggssystem mot installationsschakt,,B21,Schaktvägg,311274,0,312461,,311274.0
80c5c205-09c5-449c-8e01-eed73a9567eb,innerväggssystem mot hisschakt,,B22,Hisschaktsvägg,311274,0,312462,,311274.0
7d0aabf3-140b-46b6-acb8-b2cb8848263b,innerväggssystem mot rum,,B23,Innervägg,311274,0,312369,,311274.0
b773e7cb-2908-4f55-ac37-161fbfe335b4,väggsystem mot mark,,B30,Vägg mot mark,575547,0,311293,"Källarvägg, stödmur, landfäste, skärning, spont, bergvägg",575547.0
cd96d6a1-6e32-413a-95d5-0a252a79207a,vägg mot mark för invändigt utrymme,,B31,Källarvägg,311293,0,312452,"kulvertvägg
",311293.0
c826a731-2a39-4cb4-9f41-43cbf85c4752,vägg mot mark för utvändigt utrymme,,B32,Stödmur,311293,0,312453,"landfäste, skärning, spont, bergvägg
",311293.0
639e1280-97f9-4539-ba79-33a176e612c1,väggsystem fristående på mark,,B40,Terrängmur,575547,0,311275,"mur
",575547.0
3d8d5a85-539a-4445-a8b6-130eb711336d,väggsystem mot vatten,,B50,Vattenvägg,575547,0,311276,,575547.0
64eb3958-3d68-4a1d-853b-d841e458f9df,vattenvägg mellan land och vatten,,B51,Kaj- och pirvägg,311276,0,312459,"kaj, kajvägg",311276.0
707ae90d-5367-4593-9024-34e952af6d1a,vattenvägg i vattendrag,,B52,Dammvägg,311276,0,312460,"
",311276.0
9170a0aa-ac90-4b85-81e6-ab82d2557f1d,väggsystem under mark,,B60,Tunnelväggssystem,575547,0,311277,bergrumsvägg,575547.0
7680046a-dbf2-4ff5-9f4c-33b532c717a5,väggsystem mellan bjälklag eller mellan bjälklag och grund som utgör icke kontinuerligt vertikalt stöd,"Pelarsystemet innehåller endast det konstruktiva systemet för själva bärverket. Systemet kan användas för att ställa krav på till exempel maximalt avstånd mellan pelare och balkar, eller för att ställa krav på till exempel ett maskinfundament som utgörs av ett pelarsystem. I CoClass ligger pelarsystem som en typ av väggsystem eftersom det primärt är ett vertikalt bärverk, även om det kan innehålla balkar.",B70,Pelarsystem,575547,0,311278,,575547.0
e953c34d-93cb-4253-902f-a47e271db167,väggsystem för bro,,B80,Brounderbyggnad,575547,0,311339,"bropelare, stöd, mellanstöd, frontmur, vingmur, landfäste",575547.0
88df2f7f-ee15-4c88-8feb-6cfda5facb46,utrymmesskapande system som formar och avskiljer utrymmen horisontellt,"Bjälklagssystem omfattar hela bjälklagsfunktionen från NCD Innertaksbeklädnad till NCC Golvbeläggning. Den innehåller alltid det konstruktiva systemet AC Bjälklagskonstruktion.

Stommen kan klassificeras separat som BC Bjälklagsstomme, som kan benämnas bärlag eller stombjälklag. BC är alltså en del av AC, som tillsammans uttrycker bjälklagets konstruktion. Strukturen uttrycks som B.AC.BC.

I byggnader finns också ofta en AQ Golvkonstruktion och en AP Undertakskonstruktion. 

Eventuella ytskikt på takbeklädnad och på golvbeläggning ingår i S.RE31 Ytkompletteringar på innertak respektive S.RE20 Anordningar > Ytkompletteringar golv.

Platta på mark klassificeras som A20.AB10.ULK30 Grundläggning > Plattgrundläggning > Bottenplatta.",C,Bjälklagssystem,575545,0,575548,"Altan, bjälklag, brobana, broöverbyggnad, brygga, lastkaj, loftgång, svalgång, hanbjälklag, källarbjälklag",575545.0
fc4df458-384f-41a0-b521-6024c728ebf1,bjälklagssystem under det lägsta våningsplanet i en byggnad,Platta på mark klassificeras som A20.AB10.ULK30 Grundläggning > Plattgrundläggning > Bottenplatta.,C10,Bottenbjälklag,575548,0,311279,"
",575548.0
65d41590-fe5b-40ec-b59c-4e855ad89490,bjälklagssystem mellan våningsplan i en byggnad,,C20,Mellanbjälklag,575548,0,311280,"våningsbjälklag, källarbjälklag
",575548.0
e1caf9cb-e363-431c-aa5c-bcff91aad066,bjälklagssystem över det högsta våningsplanet i en byggnad,,C30,Vindsbjälklag,575548,0,311281,hanbjälklag,575548.0
a793bb73-3c99-4718-b0a5-32751ac90f9b,bjälklagssystem som skjuter ut från byggnad,,C40,Utskjutande bjälklag,575548,0,311282,"Balkongbjälklag, dockningsstation, lastkaj, loftgångsbjälklag, svalgångsbjälklag
",575548.0
42a6694a-6dee-4a26-9b98-4c8982ec7860,utskjutande bjälklagssystem för stationär aktivitet,,C41,Balkongbjälklag,311282,0,312456,,311282.0
5bd16e41-32bc-40a4-9549-5b6d1333ef88,utskjutande bjälklagssystem för åtkomst till entré,,C42,Loftgångsbjälklag,311282,0,312457,"Svalgångsbjälklag
",311282.0
f31bc602-2a4a-4be3-816f-c23e20c694c8,utskjutande bjälklagssystem för angöring av fordon,,C43,Lastkaj,311282,0,312458,,311282.0
1cf4746e-7278-4973-b0df-2104f82d3ccf,bjälklagssystem över ett hinder,,C50,Broöverbyggnad,575548,0,311294,"brobana
",575548.0
744da112-5e15-4300-9dd9-be3debc63415,broöverbyggnad med fast brobana,,C51,Fast broöverbyggnad,311294,0,312450,,311294.0
579297c5-a24f-4b5b-8c3c-a98f1ab62e6e,broöverbyggnad med rörlig brobana,,C52,Öppningsbar broöverbyggnad,311294,0,312451,,311294.0
f22d9e24-be95-4005-b886-aa82484aad22,"bjälklagssystem över mark, vanligen utskjutande från en byggnad",,C60,Altanbjälklag,575548,0,311283,Trädäck,575548.0
f3cbb093-24ae-4867-9ddd-2e4070c9db2e,bjälklagssystem stående över vatten,,C70,Brygga,575548,0,311284,,575548.0
910208d6-2b76-4a08-af38-b5facfa5f956,utrymmesskapande system som avslutar en byggnad uppåt,"Yttertakssystemet realiseras av det konstruktiva systemet AE Yttertakskonstruktion eller någon av dess typer. Dessa omfattar helheten av konstruktionen. Det konstruktiva systemet BE Yttertaksstomme avser bärande och stabiliserande byggdelar i yttertakskonstruktionen. BE är alltså en del av AE, som tillsammans åstadkommer yttertakssystemets konstruktion. Strukturen uttrycks som D10.AE.BE.",D,Yttertakssystem,575545,0,575549,"ytterbjälklag, yttertak, tunneltak",575545.0
ecf34227-93e6-4299-8b0e-fe36bcffc965,yttertakssystem ej avsett för verksamhet,"Yttertak realiseras av det konstruktiva systemet AE Yttertakskonstruktion eller någon av dess typer. Dessa omfattar helheten av konstruktionen. Det konstruktiva systemet BE Yttertaksstomme avser bärande och stabiliserande byggdelar i yttertakskonstruktionen. BE är alltså en del av AE, som tillsammans åstadkommer yttertakets konstruktion. Strukturen uttrycks som D10.AE.BE.",D10,Yttertak,575549,0,311285,"
",575549.0
17c8bf95-c438-4263-a1fb-1aad1f195b34,yttertakssystem avsett för verksamhet,"Ytterbjälklag realiseras av det konstruktiva systemet AE Yttertakskonstruktion eller någon av dess typer. Dessa omfattar helheten av konstruktionen. Det konstruktiva systemet BE Yttertaksstomme avser bärande och stabiliserande byggdelar i yttertakskonstruktionen. BE är alltså en del av AE, som tillsammans åstadkommer ytterbjälklagets konstruktion. Strukturen uttrycks som D20.AE.BE.

Ytterbjälklaget (terrasstaket) avslutas uppåt vid överkant tätskikt alternativt överkant isolering. Eventuella anläggningar på ytterbjälklaget med dräneringslager, jord, asfaltytor, marksten och dylikt hör till byggnadsverket DBA Utemiljö. Ljuskupoler med tillhörande sarger tillhör dock ytterbjälklaget.",D20,Ytterbjälklag,575549,0,311286,"gårdsbjälklag, terrasstak
",575549.0
ba9fc15d-4599-425f-b279-e7a4c04c23c1,yttertakssystem i tunnel,,D30,Tunneltak,575549,0,311287,,575549.0
