globalIdentifier,definition,example,identifier,title,parentId,statusId,id,parent,note,denotation
6acc314b-15b5-492d-965c-7d63dd395a98,konstruktivt system som har bärande eller stabiliserande funktion,Bärande konstruktioner,B_,Bärverk,0,0,575578,,,
689ab650-b207-444e-bd92-b89512c0b96b,bärverk som avslutar ett utrymme nedåt,"Installationsgolv, bjälklagsöverbyggnad",BF,Golvstomme,575578,0,575583,575578.0,,
e971fae5-006a-45f1-a987-cdee29fd8927,golvstomme i form av ett pågjutet skikt,flytande golv,BF10,Pågjuten golvstomme,575583,0,311423,575583.0,,
c3a9acd1-b8d0-4b17-806b-365d70d381a1,golvstomme i form av ett pålagt skikt,underlagsgolv,BF20,Undergolvsstomme,575583,0,311424,575583.0,,
f7379f25-dff6-4099-8d48-1a62f76c2c07,golvstomme i form av ett upphöjt skikt,ventilerat golv,BF30,Installationsgolvsstomme,575583,0,311425,575583.0,,
e572b27d-8cd7-4185-8e6e-536dc306e735,bärverk som avslutar ett utrymme uppåt,"innertak, nedhängt undertak, nedpendlat undertak",BG,Undertaksstomme,575578,0,575584,575578.0,,
84e77107-157f-4bce-a0c9-2927c6c2d6ca,bärverk som stödjer eller bär upp försörjnings- eller distributionssystem,"kabelstegar, kabelbrunnar, kabelrännor, kabelskydd, kontaktledningsstolpar, portaler, kraftverksstolpar, rörbryggor, rörkulvertar, skyddsrör, stolpar",BH,Kanalisation,575578,0,575585,575578.0,,
d0eb01e9-208b-48a2-82db-b53b076ee7fb,"kanalisation i byggnad, synlig",,BH10,Öppen kanalisation,575585,0,311426,575585.0,,
7890067f-171f-407b-b7da-674ec509ab63,"kanalisation i byggnad, dold",,BH20,Dold kanalisation,575585,0,311427,575585.0,,
126fe727-3408-4f5c-96a6-e6ab84825dbb,kanalisation utomhus i luft,"hängverk
",BH30,Kanalisation över mark,575585,0,311428,575585.0,,
15940af5-054f-4f22-920d-1d8c95ca548b,kanalisation utomhus i mark,,BH40,Kanalisation i mark,575585,0,311429,575585.0,,
17a09cab-a3cb-410f-9b1c-7f65a517cd61,bärverk av förenade och samverkande stänger för horisontellt och vertikalt stöd,,BJ,Pelar-balkstomme,575578,0,575586,575578.0,Ej i ISO/IEC 81346-12:2018.,
c2d10e59-e1c0-4a74-bba3-b9da0d61fc38,pelar-balkstomme som stöder annan konstruktion,,BJ10,Stödkonstruktion,575586,0,311574,575586.0,,
0fd1ef70-97f7-4207-9c79-be9e23ebf518,bärverk för broöverbyggnad,"Bryggunderbyggnad, ändstöd, mellanstöd, landfäste, brounderbyggnad",BL,Bärverk i bro,575578,0,575587,575578.0,Ej i ISO/IEC 81346-12:2018.,
8e66be26-7bc6-4bd3-a611-78f5b3764541,bärverk i bro i broände,landfäste,BL10,Ändstöd,575587,0,311527,575587.0,,
530c22e1-e6c0-4d34-8366-c5dcc8d8c276,bärverk i bro mellan broändar,"skivstöd, pelarstöd, enpelarstöd, flerpelarstöd",BL20,Mellanstöd,575587,0,311528,575587.0,,
cacdbeab-e4af-4c07-b83a-8d55a89fb50c,bärverk i bro i anslutning till mark,,BL30,Landfäste,575587,0,311549,575587.0,,
86662b60-e867-4d7e-bac1-ee48238468af,bärverk i utgrävning för tunnel och bergrum,,BM,Bärande huvudsystem i berg,575578,0,575588,575578.0,Ej i ISO/IEC 81346-12:2018.,
9bf9e9e5-d1c0-4b79-b0d6-eb97050e6293,bärande huvudsystem i berg genom förstärkning,,BM10,Bergförstärkning,575588,0,311529,575588.0,,
545d0097-0be2-4277-9615-e7a1f8d5ce25,bergörstärkning med sprutbetong,,BM11,Bergförstärkning med sprutbetong,311529,0,312609,311529.0,,
8f1c79b4-72db-4b12-9772-2393ab434ad9,bergförstärkning med förankring,,BM12,Bergförstärkning med förankring,311529,0,312610,311529.0,,
10981537-658d-4236-a940-2916ccdb8523,bärande huvudsystem i berg genom fast inklädnad,,BM20,Betonglining,575588,0,311530,575588.0,,
925be775-47a5-4d5f-bb6b-4a609df40139,bärverk i tätande konstruktion vid tunnelmynning,,BN,Trågstomme,575578,0,575589,575578.0,Ej i ISO/IEC 81346-12:2018.,
d4538c4c-b365-4c34-8bc8-379b031c9127,bärverk runt öppning i tunnel,,BP,Tunnelportalsstomme,575578,0,575590,575578.0,Ej i ISO/IEC 81346-12:2018.,
9d87cf10-1371-4724-acf9-830e846019de,bärverk under terrasskonstruktion,"Befintlig mark, undergrund",BA,Undermark,575578,0,575679,575578.0,"""Groundworks structure"" i ISO/IEC 81346-12:2018. Definition: ""Structural system forming a regulated volume of underground"".

Används i CoClass för att redovisa befintlig mark (undergrund).",
273492fb-00d0-4213-a908-2cdd9378a3a7,bärverk som förbinder ett byggnadsverk med terrassen,,BB,Grundstomme,575578,0,575579,575578.0,Det konstruktiva systemet BB avser bärande och stabiliserande byggdelar i AB Grundkonstruktion. I den senare ingår hela grundkonstruktionen med alla sina skikt.,
6fcc14bf-f069-4826-9c33-8b6fa04c86d3,grundstomme i form av ett styvt liggande plan,Platta på mark,BB10,Plattgrundsstomme,575579,0,311578,575579.0,,
ac4f8107-b3a1-4c24-b1d8-1ca2f6436440,grundstomme i form av ett stående plan,torpargrund,BB20,Grundmursstomme,575579,0,311579,575579.0,,
842b0aa7-4eb1-4517-9cdd-c2664e3de4b5,grundmursstomme av prefabricerade element,byggdelstyp 31,BB21,Grundmursstomme av prefabricerade element,311579,0,312548,311579.0,,
6f105e76-f5e0-4ed4-bff1-d12ae702813f,platsgjuten grundmursstomme,byggdelstyp 11,BB22,Platsgjuten grundmursstomme,311579,0,312549,311579.0,,
bc75ad4a-e784-48b9-bb6e-ba3d9568fe20,grundstomme i form av  vertikalt långsträckta objekt,,BB30,Plintgrundsstomme,575579,0,311582,575579.0,,
df43ccae-cccb-41c8-97c6-65b658d1bcee,plintgrundsstomme av prefabricerade element,byggdelstyp 31,BB31,Plintgrundstomme av prefabricerade element,311582,0,312541,311582.0,,
ef0164fa-dd51-49d8-8ee9-bbe5aeed301c,platsgjuten plintgrundsstomme,byggdelstyp 11,BB32,Platsgjuten plintgrundsstomme,311582,0,312542,311582.0,,
16826b5e-ff41-469d-a020-faf4da024526,grundstomme i form av ett flexibelt liggande plan,,BB40,Rustbädd,575579,0,311580,575579.0,,
06c71a1e-cb5f-41f6-bbb9-ba0b2a213e14,bärverk i fasadkonstruktion,,BQ,Fasadbärverk,575578,0,575671,575578.0,"Ej i ISO/IEC 81346-12:2018.

Det konstruktiva systemet BQ avser bärande och stabiliserande byggdelar i
fasadkonstruktionen.",
038f3726-53cd-4480-a2db-25df58f336b5,bärverk i en vertikal avskiljare,,BD,Väggstomme,575578,0,575581,575578.0,Det konstruktiva systemet BD avser bärande och stabiliserande byggdelar i väggkonstruktionen.,
9e792633-06bb-4183-953a-2552bc772e07,väggstomme i form av ett homogent skikt,,BD10,Solid väggstomme,575581,0,311585,575581.0,,
21614a16-531b-4f75-959c-84d188aec599,solid väggstomme av platsgjuten betong,byggdelstyp 11,BD11,Solid väggstomme av platsgjuten betong,311585,0,312527,311585.0,,
cb947feb-a99b-4704-b074-c965c1f300db,solid väggstomme av glidformsgjuten betong,byggdelstyp 12,BD12,Solid väggstomme av glidformsgjuten betong,311585,0,312528,311585.0,,
e1b02e14-ca80-4e37-b7ee-3e7c49272fee,solid väggstomme av prefabricerade element av betong,byggdelstyp 31,BD13,Solid väggstomme av prefabricerade element av betong,311585,0,312529,311585.0,,
9500eafb-0847-4c7d-b18d-ef65a3daa69c,solid väggstomme av prefabricerade element av autoklaverad lättbetong,byggdelstyp 32,BD14,Solid väggstomme av prefabricerade element av autoklaverad lättbetong,311585,0,312530,311585.0,,
b2336703-b55d-4fc5-8eb2-9ddde546739d,solid väggstomme av prefabricerade element av lättklinkerbetong,byggdelstyp 33,BD15,Solid väggstomme av prefabricerade element av lättklinkerbetong,311585,0,312531,311585.0,,
d7b8742d-170c-4026-a08b-b5021ae6e80e,solid väggstomme av prefabricerade element av trä,"massivträ, KL-element, KL-skivor, byggdelstyp 35",BD16,Solid väggstomme av prefabricerade element av trä,311585,0,312532,311585.0,,
0449cc73-0277-419c-aef4-4ad3deca27ae,väggstomme i form av pelare,,BD20,Pelarväggstomme,575581,0,311584,575581.0,,
86163c23-5a71-487a-9444-ce6072687bf4,pelarväggstomme av platsgjuten betong,byggdelstyp 11,BD21,Pelarväggstomme av platsgjuten betong,311584,0,312533,311584.0,,
5755f99d-7e45-41a2-9d05-dbda0fe95613,pelarväggstomme av murverk,byggdelstyp 21,BD22,Pelarväggstomme av murverk,311584,0,312534,311584.0,,
